"harmonic","aspect_degree","dms","name","prime","prime_factorization","natal_definition","transit_definition","harmony_definition","source"
"158","2.278481","2° 16' 43""","—","No","2 × 79","Blend of prime factors: H2 (pressure/polarity) + H79 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 79 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","2 × 79 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"159","2.264151","2° 15' 51""","—","No","3 × 53","Blend of prime factors: H3 (ease/flow) + H53 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 53 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","3 × 53 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"160","2.25","2° 15' 00""","—","No","2^5 × 5","Blend of prime factors: H2^5 (pressure/polarity) + H5 (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^5 × 5 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","2^5 × 5 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"161","2.236025","2° 14' 10""","—","No","7 × 23","Blend of prime factors: H7 (fate/inspiration) + H23 (novel configurations). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 7 × 23 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","7 × 23 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"162","2.222222","2° 13' 20""","—","No","2 × 3^4","Blend of prime factors: H2 (pressure/polarity) + H3^4 (ease/flow). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3^4 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","2 × 3^4 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"163","2.208589","2° 12' 31""","—","Yes","163","Prime H163: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"164","2.195122","2° 11' 42""","—","No","2^2 × 41","Blend of prime factors: H2² (pressure/polarity) + H41 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 41 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","2^2 × 41 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"165","2.181818","2° 10' 55""","—","No","3 × 5 × 11","Blend of prime factors: H3 (ease/flow) + H5 (creative form) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 5 × 11 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","3 × 5 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"166","2.168675","2° 10' 07""","—","No","2 × 83","Blend of prime factors: H2 (pressure/polarity) + H83 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 83 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","2 × 83 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"167","2.155689","2° 09' 20""","—","Yes","167","Prime H167: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"168","2.142857","2° 08' 34""","—","No","2^3 × 3 × 7","Blend of prime factors: H2³ (pressure/polarity) + H3 (ease/flow) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 3 × 7 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","2^3 × 3 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"169","2.130178","2° 07' 49""","—","No","13^2","Blend of prime factors: H13² (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 13^2 quality blend activates at tight orb (<0.09°). Active only at near-exact contact.","13^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"170","2.117647","2° 07' 04""","—","No","2 × 5 × 17","Blend of prime factors: H2 (pressure/polarity) + H5 (creative form) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 5 × 17 quality blend activates at tight orb (<0.09°). Active only at near-exact contact.","2 × 5 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"171","2.105263","2° 06' 19""","—","No","3^2 × 19","Blend of prime factors: H3² (ease/flow) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^2 × 19 quality blend activates at tight orb (<0.09°). Active only at near-exact contact.","3^2 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"172","2.093023","2° 05' 35""","—","No","2^2 × 43","Blend of prime factors: H2² (pressure/polarity) + H43 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 43 quality blend activates at tight orb (<0.09°). Active only at near-exact contact.","2^2 × 43 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"173","2.080925","2° 04' 51""","—","Yes","173","Prime H173: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"174","2.068966","2° 04' 08""","—","No","2 × 3 × 29","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H29 (paradigm options). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 29 quality blend activates at tight orb (<0.09°). Active only at near-exact contact.","2 × 3 × 29 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"175","2.057143","2° 03' 26""","—","No","5^2 × 7","Blend of prime factors: H5² (creative form) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5^2 × 7 quality blend activates at tight orb (<0.09°). Active only at near-exact contact.","5^2 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"176","2.045455","2° 02' 44""","—","No","2^4 × 11","Blend of prime factors: H2^4 (pressure/polarity) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^4 × 11 quality blend activates at tight orb (<0.09°). Active only at near-exact contact.","2^4 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
